city,date,temp,o3,dewpoint,pm10,season,yday,month,month_numeric,year
chic,1997/01/01,36,5.66,37.5,13.05,Winter,1,Jan,1,1997
chic,1997/02/01,45,5.53,47.25,41.95,Winter,2,Jan,1,1997
chic,1997/03/01,40,6.29,38,27.04,Winter,3,Jan,1,1997
chic,1997/04/01,51.5,7.54,45.5,25.07,Winter,4,Jan,1,1997
chic,1997/05/01,27,20.76,11.25,15.34,Winter,5,Jan,1,1997
chic,1997/06/01,17,14.94,5.75,9.36,Winter,6,Jan,1,1997
chic,1997/07/01,16,11.92,7,20.23,Winter,7,Jan,1,1997
chic,1997/08/01,19,8.68,17.75,33.13,Winter,8,Jan,1,1997
chic,1997/09/01,26,13.36,24,12.12,Winter,9,Jan,1,1997
chic,1997/10/01,16,10.45,5.38,24.76,Winter,10,Jan,1,1997
chic,1997/11/01,1.5,15.87,-6.63,18.13,Winter,11,Jan,1,1997
chic,1997/12/01,1,15.12,-8.88,16.01,Winter,12,Jan,1,1997
chic,1/13/1997,3,9.38,1.5,34.99,Winter,13,Jan,1,1997
chic,1/14/1997,10,8.03,11.5,64.95,Winter,14,Jan,1,1997
chic,1/15/1997,19,7.07,23.25,26.94,Winter,15,Jan,1,1997
chic,1/16/1997,9.5,20.11,-9.75,27.02,Winter,16,Jan,1,1997
chic,1/17/1997,-3,15.36,-10.38,18.84,Winter,17,Jan,1,1997
chic,1/18/1997,0,12.71,-4.13,31.86,Winter,18,Jan,1,1997
chic,1/19/1997,14,9.62,22.63,30.92,Winter,19,Jan,1,1997
chic,1/20/1997,31,16.84,27.25,19.89,Winter,20,Jan,1,1997
chic,1/21/1997,35,12.76,41.63,27.88,Winter,21,Jan,1,1997
chic,1/22/1997,36.5,21.02,20.75,18.51,Winter,22,Jan,1,1997
chic,1/23/1997,26,18.67,18.75,11.85,Winter,23,Jan,1,1997
chic,1/24/1997,32,7.13,29.5,26.69,Winter,24,Jan,1,1997
chic,1/25/1997,14.5,17.17,-1.38,16.61,Winter,25,Jan,1,1997
chic,1/26/1997,11,9.96,17.13,21.64,Winter,26,Jan,1,1997
chic,1/27/1997,17,9.17,8.38,22.67,Winter,27,Jan,1,1997
chic,1/28/1997,2,13.61,-6.38,28.1,Winter,28,Jan,1,1997
chic,1/29/1997,8,7.95,11,51.78,Winter,29,Jan,1,1997
chic,1/30/1997,16.5,7.66,16.38,48.74,Winter,30,Jan,1,1997
chic,1/31/1997,31.5,11.88,33.75,24.69,Winter,31,Jan,1,1997
chic,1997/01/02,35,16.68,29.67,23.78,Winter,32,Feb,2,1997
chic,1997/02/02,36.5,12.03,29.63,27.76,Winter,33,Feb,2,1997
chic,1997/03/02,30,21.85,28,21.6,Winter,34,Feb,2,1997
chic,1997/04/02,34.5,10.89,32,17.05,Winter,35,Feb,2,1997
chic,1997/05/02,30,14.89,24.25,10.16,Winter,36,Feb,2,1997
chic,1997/06/02,26,15.96,21.88,15.94,Winter,37,Feb,2,1997
chic,1997/07/02,25.5,14.39,23.38,33.01,Winter,38,Feb,2,1997
chic,1997/08/02,25.5,19.75,22.5,14.96,Winter,39,Feb,2,1997
chic,1997/09/02,26,12.4,21,30.41,Winter,40,Feb,2,1997
chic,1997/10/02,27,14.19,21.75,23.91,Winter,41,Feb,2,1997
chic,1997/11/02,23.5,20.49,19.5,22.97,Winter,42,Feb,2,1997
chic,1997/12/02,21,23.09,11.6,12.71,Winter,43,Feb,2,1997
chic,2/13/1997,20.5,20.17,16.38,22.72,Winter,44,Feb,2,1997
chic,2/14/1997,25.5,15.45,23,35.68,Winter,45,Feb,2,1997
chic,2/15/1997,20,19.53,15.25,28.37,Winter,46,Feb,2,1997
chic,2/16/1997,18.5,20.02,8.13,15.66,Winter,47,Feb,2,1997
chic,2/17/1997,30,17.3,32.63,38.74,Winter,48,Feb,2,1997
chic,2/18/1997,48.5,27.01,41.38,27.6,Winter,49,Feb,2,1997
chic,2/19/1997,37.5,19.06,27.5,17.61,Winter,50,Feb,2,1997
chic,2/20/1997,35.5,6.89,44.13,29.77,Winter,51,Feb,2,1997
chic,2/21/1997,36,16.31,29.63,7.34,Winter,52,Feb,2,1997
chic,2/22/1997,26,23.02,24.25,7.86,Winter,53,Feb,2,1997
chic,2/23/1997,28,24.99,14.63,7.91,Winter,54,Feb,2,1997
chic,2/24/1997,21.5,18.94,10.88,17.83,Winter,55,Feb,2,1997
chic,2/25/1997,25.5,12.53,27.13,41.12,Winter,56,Feb,2,1997
chic,2/26/1997,36.5,7.96,35,34.05,Winter,57,Feb,2,1997
chic,2/27/1997,34.5,13.19,30.25,19.75,Winter,58,Feb,2,1997
chic,2/28/1997,37.5,15.18,36,26.13,Winter,59,Feb,2,1997
chic,1997/01/03,45.5,13.86,44,28.13,Winter,60,Mar,3,1997
chic,1997/02/03,35,30.99,27.38,9.94,Winter,61,Mar,3,1997
chic,1997/03/03,33.5,29.26,29.38,15.98,Winter,62,Mar,3,1997
chic,1997/04/03,38,15.41,28.88,26.03,Winter,63,Mar,3,1997
chic,1997/05/03,33,17.79,28.63,31.42,Winter,64,Mar,3,1997
chic,1997/06/03,26.5,25.03,13.38,26.51,Winter,65,Mar,3,1997
chic,1997/07/03,35.5,18,35.25,30.59,Winter,66,Mar,3,1997
chic,1997/08/03,39,30.11,28.25,16.23,Winter,67,Mar,3,1997
chic,1997/09/03,37,15.18,32.63,21.21,Winter,68,Mar,3,1997
chic,1997/10/03,44,20.23,33.25,26.32,Winter,69,Mar,3,1997
chic,1997/11/03,37,29.98,23.38,20.13,Winter,70,Mar,3,1997
chic,1997/12/03,33.5,30.81,25,20.43,Winter,71,Mar,3,1997
chic,3/13/1997,37.5,28.39,30.5,22.48,Winter,72,Mar,3,1997
chic,3/14/1997,26.5,24.62,15.5,18.58,Winter,73,Mar,3,1997
chic,3/15/1997,19,30.74,8.38,8.03,Winter,74,Mar,3,1997
chic,3/16/1997,24.5,26.62,23.75,16.93,Winter,75,Mar,3,1997
chic,3/17/1997,45,22.22,33.63,31.87,Winter,76,Mar,3,1997
chic,3/18/1997,33.5,40.2,27,18.6,Winter,77,Mar,3,1997
chic,3/19/1997,35.5,28.49,28.88,23.59,Winter,78,Mar,3,1997
chic,3/20/1997,46,24.95,31.88,31.51,Winter,79,Mar,3,1997
chic,3/21/1997,53.5,18,42.5,58.5,Winter,80,Mar,3,1997
chic,3/22/1997,37.5,27.96,28.63,18.61,Winter,81,Mar,3,1997
chic,3/23/1997,32.5,24.77,20.38,15.13,Winter,82,Mar,3,1997
chic,3/24/1997,33,18.62,32.38,26.64,Winter,83,Mar,3,1997
chic,3/25/1997,40.5,14.8,30,22.72,Winter,84,Mar,3,1997
chic,3/26/1997,44,20.56,36.75,21.77,Winter,85,Mar,3,1997
chic,3/27/1997,60.5,24.38,40.13,46.76,Winter,86,Mar,3,1997
chic,3/28/1997,55.5,10.87,53.88,46.8,Winter,87,Mar,3,1997
chic,3/29/1997,43.5,14.85,41,22.02,Winter,88,Mar,3,1997
chic,3/30/1997,37.5,23.49,33.75,8.77,Winter,89,Mar,3,1997
